test_id	area	isolated_rerun
tests/services/test_document_reference_sync.py::test_backfill_documents_sets_canonical_ids_and_unknown_maps_to_other	tests/services	fails alone
tests/services/test_document_type_canonical_bridge.py::test_sync_reassigns_misclassified_document_type_ids	tests/services	fails alone
tests/services/test_document_type_runtime_resolver.py::test_resolve_legacy_mapping_and_unknown_to_other	tests/services	fails alone
tests/services/test_document_type_runtime_resolver.py::test_resolve_prefers_document_type_version_id	tests/services	fails alone
tests/services/test_hr_cms_employee_pipeline_funnel_h5.py::test_validate_hr_settings_rejects_legacy_tenant_funnel	tests/services	fails alone
tests/services/test_hr_cms_employee_pipeline_funnel_h5.py::test_validate_hr_settings_rejects_recruitment_funnel	tests/services	fails alone
tests/services/test_hr_employee_funnel_assignment_h4.py::test_meta_stages_supports_employee_pipeline_type	tests/services	fails alone
tests/services/test_hr_employee_funnel_assignment_h4.py::test_workforce_create_wires_hr_assignment_not_recruitment_resolver	tests/services	fails alone
tests/services/test_hr_employee_funnel_assignment_h4.py::test_workforce_handoff_from_candidate_wires_recruitment_pipeline_assignment	tests/services	fails alone
tests/services/test_hr_employee_funnel_resolver.py::test_explicit_recruitment_funnel_forbidden	tests/services	fails alone
tests/services/test_hr_employee_funnel_resolver.py::test_resolve_raises_when_no_funnel_exists	tests/services	fails alone
tests/services/test_hr_operational_alerts.py::test_hr_operational_alerts_dispatch_idempotent_window	tests/services	passes alone
tests/services/test_hr_operational_alerts.py::test_hr_operational_alerts_dry_run_counts_slots	tests/services	passes alone
tests/services/test_recruitment_funnel_assignment.py::test_reconcile_lead_funnel_on_company_change	tests/services	fails alone
tests/services/test_recruitment_funnel_resolver.py::test_resolve_raises_when_no_funnel_exists	tests/services	fails alone
tests/services/test_recruitment_lead_auto_assign.py::test_assign_recruiter_unassigned_when_canonical_paused	tests/services	fails alone
tests/services/test_recruitment_lead_auto_assign.py::test_assign_recruiter_unassigned_when_outside_working_hours	tests/services	fails alone
tests/services/test_recruitment_lead_auto_assign.py::test_assign_recruiter_unassigned_when_pool_lacks_company_scope	tests/services	fails alone
tests/services/test_recruitment_lead_auto_assign.py::test_candidate_create_unassigned_audit_payload	tests/services	fails alone
tests/services/test_system_candidate_workforce_lock.py::test_create_attempt_skips_stage_when_workforce_locked	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_approved_override_clears_document_blocker	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_full_green_allows_stage_and_handoff	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_missing_contact_data_blocks_recruitment_package	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_missing_required_document_blocks_stage	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_pending_verification_blocks_stage	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_processing_by_hr_stage_report_resolves	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_stage_allowed_handoff_route_disabled	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_tenant_link_disabled_blocks_handoff_only	tests/services	fails alone
tests/services/test_transfer_policy_regression_scenarios.py::test_regression_unconfirmed_blocks_block_transfer	tests/services	fails alone
tests/services/test_transfer_policy_resolver.py::test_transfer_policy_allowed_when_complete	tests/services	fails alone
tests/services/test_transfer_policy_resolver.py::test_transfer_policy_blocked_by_unconfirmed_blocks	tests/services	fails alone
tests/services/test_workforce_action_policy.py::test_contract_signing_allowed_when_docs_ready	tests/services	fails alone
tests/services/test_workforce_eligibility_resolver.py::test_compliance_risk_when_doc_expires_soon	tests/services	fails alone
tests/services/test_workforce_eligibility_resolver.py::test_eligible_when_required_docs_present_and_valid	tests/services	fails alone
tests/services/test_workforce_eligibility_resolver.py::test_expired_critical_document_blocks_route_assignment	tests/services	fails alone
tests/services/test_workforce_eligibility_resolver.py::test_unverified_critical_doc_blocks_hr_verification	tests/services	fails alone
tests/test_additional_services.py::test_additional_services_end_to_end	tests	fails alone
tests/test_analytics_ttv.py::test_post_analytics_event_ttv_step_roundtrip	tests	fails alone
tests/test_analytics_ttv.py::test_ttv_report_aggregates_durations	tests	fails alone
tests/test_audit_events.py::test_log_audit_event_contact_attempt	tests	fails alone
tests/test_audit_events.py::test_log_audit_event_rodo_sent	tests	fails alone
tests/test_audit_events.py::test_log_audit_event_writes_to_activity_log	tests	fails alone
tests/test_candidate_children.py::test_documents_crud	tests	fails alone
tests/test_candidate_children.py::test_permits_crud	tests	fails alone
tests/test_candidate_children.py::test_tasks_crud	tests	fails alone
tests/test_candidate_children.py::test_visas_crud	tests	fails alone
tests/test_candidate_next_action.py::test_endpoint_returns_404_for_unknown_candidate	tests	fails alone
tests/test_candidate_next_action.py::test_endpoint_returns_dto_for_known_candidate	tests	fails alone
tests/test_document_next_action.py::test_endpoint_returns_404_for_unknown_document	tests	fails alone
tests/test_document_next_action.py::test_endpoint_returns_dto_for_known_document	tests	fails alone
tests/test_documents_routes.py::test_documents_router_expected_endpoints	tests	fails alone
tests/test_lead_next_action.py::test_endpoint_returns_404_for_unknown_lead	tests	fails alone
tests/test_lead_next_action.py::test_endpoint_returns_dto_for_known_lead	tests	fails alone
tests/test_owner_fk_set_null.py::test_planner_event_assignee_set_null_on_user_delete	tests	fails alone
tests/test_pipeline_sync.py::test_stage_patch_from_terminal_allowed	tests	fails alone
tests/test_pipeline_sync.py::test_stage_patch_with_vacancy_payload	tests	fails alone
tests/test_pipeline_sync.py::test_stage_sync_smoke	tests	fails alone
tests/test_recruitment_setup_readiness.py::test_employer_next_action_skips_client_to_vacancy	tests	fails alone
tests/test_recruitment_setup_readiness.py::test_employer_skips_client_gate	tests	fails alone
tests/test_recruitment_setup_readiness.py::test_empty_agency_tenant_not_ready_first_blocker_is_client	tests	fails alone
tests/test_recruitment_setup_readiness.py::test_g6_next_action_points_to_setup_intake	tests	fails alone
tests/test_recruitment_setup_readiness.py::test_g8_fails_on_dual_routing_conflict	tests	fails alone
tests/test_risk_intel_v1.py::test_normalize_digest_roles_aliases	tests	fails alone
tests/test_risk_intel_v1.py::test_score_single_candidate_terminal_low	tests	fails alone
tests/test_thread_next_action.py::test_endpoint_returns_404_for_unknown_thread	tests	fails alone
tests/test_vacancy_next_action.py::test_endpoint_returns_404_for_unknown_vacancy	tests	fails alone
tests/test_vacancy_next_action.py::test_endpoint_returns_dto_for_known_vacancy	tests	fails alone
tests/unit/test_lead_questionnaire_invite_base_alias.py::test_lead_questionnaire_invite_fk_resolves_tenant_lead_forms	tests/unit	fails alone
