Początek okresu raportowania,Koniec okresu raportowania,Nazwa kampanii,Wyświetlenia w kampanii,Wyniki,Wskaźnik wyników,Koszt wyników,Budżet zestawu reklam,Typ budżetu zestawu reklam,Wydana kwota (USD),Wyświetlenia,Zasięg,Zakończenie,Ustawienie atrybucji
2026-07-31,2026-07-31,Leads Agency PL,inactive,,,,10,Dzienny,5.26,860,747,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,1,actions:leadgen.other,15.07,15,Dzienny,15.07,900,759,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads ENG Poltrakt Week/Cadence Poland,inactive,8,actions:leadgen.other,1.45625,20,Dzienny,11.65,3272,2552,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads Agency PL,inactive,2,actions:leadgen.other,5.935,10,Dzienny,11.87,1922,1412,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,3,actions:leadgen.other,6.89333333,15,Dzienny,20.68,1494,1214,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads ENG Poltrakt Week/Cadence Poland,inactive,12,actions:leadgen.other,1.53833333,20,Dzienny,18.46,5116,3384,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Leads Agency PL,inactive,,,,10,Dzienny,10.75,1520,1115,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,2,actions:leadgen.other,8.47,15,Dzienny,16.94,1582,1311,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Leads ENG Poltrakt Week/Cadence Poland,inactive,10,actions:leadgen.other,1.871,20,Dzienny,18.71,5493,3999,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-29,2026-07-29,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Leads Agency PL,inactive,2,actions:leadgen.other,4.335,10,Dzienny,8.67,1528,1029,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,,,,15,Dzienny,0.57,72,66,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Leads ENG Poltrakt Week/Cadence Poland,inactive,16,actions:leadgen.other,1.251875,20,Dzienny,20.03,6255,4591,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-28,2026-07-28,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Leads Agency PL,inactive,,,,10,Dzienny,3.17,638,456,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,12,actions:leadgen.other,0.37416667,15,Dzienny,4.49,1428,1266,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Leads ENG Poltrakt Week/Cadence Poland,inactive,8,actions:leadgen.other,2.52625,20,Dzienny,20.21,6276,4176,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-27,2026-07-27,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Leads Agency PL,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,23,actions:leadgen.other,0.61217391,15,Dzienny,14.08,4253,3347,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Leads ENG Poltrakt Week/Cadence Poland,inactive,10,actions:leadgen.other,2.106,20,Dzienny,21.06,6465,4161,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-26,2026-07-26,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Leads Agency PL,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,32,actions:leadgen.other,0.4465625,15,Dzienny,14.29,4345,3433,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,7.54,1185,936,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Leads ENG Poltrakt Week/Cadence Poland,inactive,8,actions:leadgen.other,2.25625,20,Dzienny,18.05,5478,3668,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-25,2026-07-25,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Leads Agency PL,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,43,actions:leadgen.other,0.29627907,15,Dzienny,12.74,3569,2609,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,4.67,93,84,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,8.86,1665,1366,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Leads ENG Poltrakt Week/Cadence Poland,inactive,10,actions:leadgen.other,1.926,20,Dzienny,19.26,6339,4230,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-24,2026-07-24,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Leads Agency PL,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,20,actions:leadgen.other,0.3935,15,Dzienny,7.87,2062,1714,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,10.42,200,192,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,9.58,1878,1552,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Leads ENG Poltrakt Week/Cadence Poland,inactive,12,actions:leadgen.other,1.57583333,20,Dzienny,18.91,5989,3890,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-23,2026-07-23,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Leads Agency PL,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,,,,15,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Leads RU Mrozek 100 eur,inactive,1,actions:leadgen.other,9.8,10,Dzienny,9.8,219,193,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,9.32,1946,1539,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Leads ENG Poltrakt Week/Cadence Poland,inactive,11,actions:leadgen.other,1.70363636,20,Dzienny,18.74,6404,3999,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-22,2026-07-22,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Leads Agency PL,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,,,,15,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,10.71,256,215,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Leads PL Dyspozytor Poltrakt,inactive,1,actions:leadgen.other,10.94,10,Dzienny,10.94,2420,1867,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Leads ENG Poltrakt Week/Cadence Poland,inactive,11,actions:leadgen.other,1.75,20,Dzienny,19.25,5323,3136,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-21,2026-07-21,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
