"Дата начала отчетности","Окончание отчетности","Название объявления",Страна,"Показ рекламы","Настройка атрибуции",Результат,"Индикатор результата",Охват,Частота,"Цена за результаты","Бюджет группы объявлений","Тип бюджета группы объявлений","Потраченная сумма (PLN)",Конец,"Оценка качества","Оценка коэффициента вовлеченности","Оценка коэффициента конверсии",Показы,"CPM (цена за 1 000 показов) (PLN)","Клики по ссылке",shop_clicks,"CPC (цена за клик по ссылке) (PLN)","CTR (отношение кликов к показам)","Клики (все)","CTR (все)","CPC (все) (PLN)","Просмотры целевой страницы","Цена за просмотр целевой страницы (PLN)","Результаты (начальные)","Индикатор результатов (начальных)"
2026-09-02,2026-09-02,"Truck Image 110",PL,active,"7 дней после клика или 1 день после просмотра",,,250,1.304,,"Используется бюджет кампании",0,13.09,Текущие,-,-,-,326,40.153374,1,,13.09,0.306748,9,2.760736,1.454444,,,,
2026-09-01,2026-09-01,"Truck Image 110",PL,active,"7 дней после клика или 1 день после просмотра",10,actions:leadgen.other,961,1.661811,6.492,"Используется бюджет кампании",0,64.92,Текущие,-,-,-,1597,40.651221,30,,2.164,1.878522,60,3.757044,1.082,,,,
2026-08-31,2026-08-31,"Truck Image 110",PL,active,"7 дней после клика или 1 день после просмотра",1,actions:leadgen.other,1021,1.158668,28.12,"Используется бюджет кампании",0,28.12,Текущие,-,-,-,1183,23.770076,12,,2.343333,1.01437,21,1.775148,1.339048,,,,
